TweetDate,TweetURL,MediaURL,SavedFilename,TweetContent,Replies,Retweets,Likes
2020/11/16 20:21:47,https://twitter.com/rodyoki/status/1328478402152697856,https://pbs.twimg.com/media/Em-zPyPXcAIsoJD?format=jpg&name=orig,rodyoki-1328478402152697856-20201116_202147-img1.jpg,"Este Velo XXVII fue parte de un art-trade con @Milanga_BoyCrashBandicoot digitalart https://t.co/NNDzhVWRjE",4,9,45,
2020/11/14 21:32:51,https://twitter.com/rodyoki/status/1327771510375927809,https://pbs.twimg.com/media/Em0xHwOW8AIGR8h?format=jpg&name=orig,rodyoki-1327771510375927809-20201114_213251-img1.jpg,"Por último, estaba algo exhausto de Twitter y las redes sociales. No es que odie a los usuarios, me gusta conocer gente nueva y ver cómo van mejorando, pero no pude evitar sentirme abrumado por toda la experiencia. Es como mi experiencia en Tumblr por ahí en 2014. Tumblr pics: https://t.co/IkR2JV6H5C",1,,10,
2020/11/14 21:32:51,https://twitter.com/rodyoki/status/1327771510375927809,https://pbs.twimg.com/media/Em0xHwfWMAADbIU?format=jpg&name=orig,rodyoki-1327771510375927809-20201114_213251-img2.jpg,"Por último, estaba algo exhausto de Twitter y las redes sociales. No es que odie a los usuarios, me gusta conocer gente nueva y ver cómo van mejorando, pero no pude evitar sentirme abrumado por toda la experiencia. Es como mi experiencia en Tumblr por ahí en 2014. Tumblr pics: https://t.co/IkR2JV6H5C",1,,10,
2020/11/14 21:31:13,https://twitter.com/rodyoki/status/1327771100676304898,https://pbs.twimg.com/media/Em0wvEnWMAANe1B?format=png&name=orig,rodyoki-1327771100676304898-20201114_213113-img1.png,"A mediados del año sufrí una pequeña crisis de identidad. Eso me llevo a una obsesión por encontrar un estilo que se acomode a mis necesidades, diría que me esta yendo bastante bien en ese aspecto. https://t.co/R38uTal2wC",1,,7,
2020/06/27 21:01:42,https://twitter.com/rodyoki/status/1277029371803557893,https://pbs.twimg.com/media/EbjpkVcWsAErdDl?format=jpg&name=orig,rodyoki-1277029371803557893-20200627_210142-img1.jpg,"Felt like doing something like Moby Francke. Probably gonna do the rest of the classes as well.tf2 demoman digitalart fanart https://t.co/IbHdPyhNlJ",2,36,108,
2020/05/30 22:41:24,https://twitter.com/rodyoki/status/1266907598768529411,https://pbs.twimg.com/media/EZT0E85WAAAYkIV?format=png&name=orig,rodyoki-1266907598768529411-20200530_224124-img1.png,"Quería hacer este mono bien rápido pero iba quedando demasiado bueno :/digitalart artistsontwitter art https://t.co/z8RMnSiuZE",3,4,19,
2020/05/30 22:41:24,https://twitter.com/rodyoki/status/1266907598768529411,https://pbs.twimg.com/media/EZT0IjEXQAMMb1C?format=jpg&name=orig,rodyoki-1266907598768529411-20200530_224124-img2.jpg,"Quería hacer este mono bien rápido pero iba quedando demasiado bueno :/digitalart artistsontwitter art https://t.co/z8RMnSiuZE",3,4,19,
2020/05/28 19:28:39,https://twitter.com/rodyoki/status/1266134317052375043,https://pbs.twimg.com/media/EZI12kFWkAMc7Zj?format=png&name=orig,rodyoki-1266134317052375043-20200528_192839-img1.png,Scraps from the last few weeks. No intentions to finish these :/ https://t.co/twg2o9Osc1,,1,23,
2020/05/28 19:28:39,https://twitter.com/rodyoki/status/1266134317052375043,https://pbs.twimg.com/media/EZI12kFXgAIGjT5?format=png&name=orig,rodyoki-1266134317052375043-20200528_192839-img2.png,Scraps from the last few weeks. No intentions to finish these :/ https://t.co/twg2o9Osc1,,1,23,
2020/05/28 19:28:39,https://twitter.com/rodyoki/status/1266134317052375043,https://pbs.twimg.com/media/EZI12kFXYAMc9NF?format=png&name=orig,rodyoki-1266134317052375043-20200528_192839-img3.png,Scraps from the last few weeks. No intentions to finish these :/ https://t.co/twg2o9Osc1,,1,23,
